movie_id,title,language,country,genres,budget,revenue,votes_count,duration,year,imdb_rating,profit,roi,budget_category
18,Pirates of the Caribbean: On Stranger Tides ,English,USA,Action|Adventure|Fantasy,250000000.0,241063875.0,370704,136,2011,6.7,-8936125.0,-0.04,High budget
19,Men in Black 3 ,English,USA,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,225000000.0,179020854.0,268154,106,2012,6.8,-45979146.0,-0.2,High budget
20,The Hobbit: The Battle of the Five Armies ,English,New Zealand,Adventure|Fantasy,250000000.0,255108370.0,354228,164,2014,7.5,5108370.0,0.02,High budget
21,The Amazing Spider-Man ,English,USA,Action|Adventure|Fantasy,230000000.0,262030663.0,451803,153,2012,7.0,32030663.0,0.14,High budget
22,Robin Hood ,English,USA,Action|Adventure|Drama|History,200000000.0,105219735.0,211765,156,2010,6.7,-94780265.0,-0.47,High budget
23,The Hobbit: The Desolation of Smaug ,English,USA,Adventure|Fantasy,225000000.0,258355354.0,483540,186,2013,7.9,33355354.0,0.15,High budget
24,The Golden Compass ,English,USA,Adventure|Family|Fantasy,180000000.0,70083519.0,149019,113,2007,6.1,-109916481.0,-0.61,High budget
25,King Kong ,English,New Zealand,Action|Adventure|Drama|Romance,207000000.0,218051260.0,316018,201,2005,7.2,11051260.0,0.05,High budget
26,Titanic ,English,USA,Drama|Romance,200000000.0,658672302.0,793059,194,1997,7.7,458672302.0,2.29,High budget
27,Captain America: Civil War ,English,USA,Action|Adventure|Sci-Fi,250000000.0,407197282.0,272670,147,2016,8.2,157197282.0,0.63,High budget
28,Battleship ,English,USA,Action|Adventure|Sci-Fi|Thriller,209000000.0,65173160.0,202382,131,2012,5.9,-143826840.0,-0.69,High budget
29,Jurassic World ,English,USA,Action|Adventure|Sci-Fi|Thriller,150000000.0,652177271.0,418214,124,2015,7.0,502177271.0,3.35,High budget
30,Skyfall ,English,UK,Action|Adventure|Thriller,200000000.0,304360277.0,522030,143,2012,7.8,104360277.0,0.52,High budget
31,Spider-Man 2 ,English,USA,Action|Adventure|Fantasy|Romance,200000000.0,373377893.0,411164,135,2004,7.3,173377893.0,0.87,High budget
32,Iron Man 3 ,English,USA,Action|Adventure|Sci-Fi,200000000.0,408992272.0,557489,195,2013,7.2,208992272.0,1.04,High budget
33,Alice in Wonderland ,English,USA,Adventure|Family|Fantasy,200000000.0,334185206.0,306320,108,2010,6.5,134185206.0,0.67,High budget
34,X-Men: The Last Stand ,English,Canada,Action|Adventure|Fantasy|Sci-Fi|Thriller,210000000.0,234360014.0,383427,104,2006,6.8,24360014.0,0.12,High budget
35,Monsters University ,English,USA,Adventure|Animation|Comedy|Family|Fantasy,200000000.0,268488329.0,235025,104,2013,7.3,68488329.0,0.34,High budget
36,Transformers: Revenge of the Fallen ,English,USA,Action|Adventure|Sci-Fi,200000000.0,402076689.0,323207,150,2009,6.0,202076689.0,1.01,High budget
37,Transformers: Age of Extinction ,English,USA,Action|Adventure|Sci-Fi,210000000.0,245428137.0,242420,165,2014,5.7,35428137.0,0.17,High budget
38,Oz the Great and Powerful ,English,USA,Adventure|Family|Fantasy,215000000.0,234903076.0,175409,130,2013,6.4,19903076.0,0.09,High budget
39,The Amazing Spider-Man 2 ,English,USA,Action|Adventure|Fantasy|Sci-Fi,200000000.0,202853933.0,321227,142,2014,6.7,2853933.0,0.01,High budget
40,TRON: Legacy ,English,USA,Action|Adventure|Sci-Fi,170000000.0,172051787.0,264183,125,2010,6.8,2051787.0,0.01,High budget
41,Cars 2 ,English,USA,Adventure|Animation|Comedy|Family|Sport,200000000.0,191450875.0,101178,106,2011,6.3,-8549125.0,-0.04,High budget
42,Green Lantern ,English,USA,Action|Adventure|Sci-Fi,200000000.0,116593191.0,223393,123,2011,5.6,-83406809.0,-0.42,High budget
43,Toy Story 3 ,English,USA,Adventure|Animation|Comedy|Family|Fantasy,200000000.0,414984497.0,544884,103,2010,8.3,214984497.0,1.07,High budget
44,Terminator Salvation ,English,USA,Action|Adventure|Sci-Fi,200000000.0,125320003.0,286095,118,2009,6.6,-74679997.0,-0.37,High budget
45,Furious 7 ,English,USA,Action|Crime|Thriller,190000000.0,350034110.0,278232,140,2015,7.2,160034110.0,0.84,High budget
46,World War Z ,English,USA,Action|Adventure|Horror|Sci-Fi|Thriller,190000000.0,202351611.0,465019,123,2013,7.0,12351611.0,0.07,High budget
47,X-Men: Days of Future Past ,English,USA,Action|Adventure|Fantasy|Sci-Fi|Thriller,200000000.0,233914986.0,514125,149,2014,8.0,33914986.0,0.17,High budget
48,Star Trek Into Darkness ,English,USA,Action|Adventure|Sci-Fi,190000000.0,228756232.0,395573,132,2013,7.8,38756232.0,0.2,High budget
49,Jack the Giant Slayer ,English,USA,Adventure|Fantasy,195000000.0,65171860.0,106416,114,2013,6.3,-129828140.0,-0.67,High budget
50,The Great Gatsby ,English,Australia,Drama|Romance,105000000.0,144812796.0,362912,143,2013,7.3,39812796.0,0.38,High budget
51,Prince of Persia: The Sands of Time ,English,USA,Action|Adventure|Fantasy|Romance,200000000.0,90755643.0,222403,116,2010,6.6,-109244357.0,-0.55,High budget
52,Pacific Rim ,English,USA,Action|Adventure|Sci-Fi,190000000.0,101785482.0,381148,131,2013,7.0,-88214518.0,-0.46,High budget
53,Transformers: Dark of the Moon ,English,USA,Action|Adventure|Sci-Fi,195000000.0,352358779.0,326180,154,2011,6.3,157358779.0,0.81,High budget
54,Indiana Jones and the Kingdom of the Crystal Skull ,English,USA,Action|Adventure|Fantasy,185000000.0,317011114.0,333847,122,2008,6.2,132011114.0,0.71,High budget
55,Brave ,English,USA,Adventure|Animation|Comedy|Family|Fantasy,185000000.0,237282182.0,273556,93,2012,7.2,52282182.0,0.28,High budget
56,Star Trek Beyond ,English,USA,Action|Adventure|Sci-Fi|Thriller,185000000.0,130468626.0,53607,122,2016,7.5,-54531374.0,-0.29,High budget
57,WALL·E ,English,USA,Adventure|Animation|Family|Sci-Fi,180000000.0,223806889.0,718837,98,2008,8.4,43806889.0,0.24,High budget
58,Rush Hour 3 ,English,USA,Action|Comedy|Crime|Thriller,140000000.0,140080850.0,121084,91,2007,6.2,80850.0,0.0,High budget
59,2012 ,English,USA,Action|Adventure|Sci-Fi,200000000.0,166112167.0,283418,158,2009,5.8,-33887833.0,-0.17,High budget
60,A Christmas Carol ,English,USA,Animation|Drama|Family|Fantasy,200000000.0,137850096.0,72809,96,2009,6.8,-62149904.0,-0.31,High budget
61,Jupiter Ascending ,English,USA,Action|Adventure|Sci-Fi,176000000.0,47375327.0,139593,127,2015,5.4,-128624673.0,-0.73,High budget
62,The Legend of Tarzan ,English,USA,Action|Adventure|Drama|Romance,180000000.0,124051759.0,42372,110,2016,6.6,-55948241.0,-0.31,High budget
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",English,USA,Adventure|Family|Fantasy,180000000.0,291709845.0,286506,150,2005,6.9,111709845.0,0.62,High budget
64,X-Men: Apocalypse ,English,USA,Action|Adventure|Sci-Fi,178000000.0,154985087.0,148379,144,2016,7.3,-23014913.0,-0.13,High budget
65,The Dark Knight ,English,USA,Action|Crime|Drama|Thriller,185000000.0,533316061.0,1676169,152,2008,9.0,348316061.0,1.88,High budget
66,Up ,English,USA,Adventure|Animation|Comedy|Family,175000000.0,292979556.0,665575,96,2009,8.3,117979556.0,0.67,High budget
67,Monsters vs. Aliens ,English,USA,Action|Adventure|Animation|Comedy|Family|Sci-Fi,175000000.0,198332128.0,114553,94,2009,6.5,23332128.0,0.13,High budget
68,Iron Man ,English,USA,Action|Adventure|Sci-Fi,140000000.0,318298180.0,696338,126,2008,7.9,178298180.0,1.27,High budget
69,Hugo ,English,USA,Adventure|Drama|Family|Mystery,170000000.0,73820094.0,245333,126,2011,7.5,-96179906.0,-0.57,High budget
70,Wild Wild West ,English,USA,Action|Comedy|Sci-Fi|Western,170000000.0,113745408.0,129601,106,1999,4.8,-56254592.0,-0.33,High budget
71,The Mummy: Tomb of the Dragon Emperor ,English,USA,Action|Adventure|Fantasy|Horror|Thriller,145000000.0,102176165.0,117927,112,2008,5.2,-42823835.0,-0.3,High budget
72,Suicide Squad ,English,USA,Action|Adventure|Comedy|Sci-Fi,175000000.0,161087183.0,118992,123,2016,6.9,-13912817.0,-0.08,High budget
73,Evan Almighty ,English,USA,Comedy|Family|Fantasy,175000000.0,100289690.0,115099,96,2007,5.4,-74710310.0,-0.43,High budget
74,Edge of Tomorrow ,English,USA,Action|Adventure|Sci-Fi,178000000.0,100189501.0,431620,113,2014,7.9,-77810499.0,-0.44,High budget
75,Waterworld ,English,USA,Action|Adventure|Sci-Fi|Thriller,175000000.0,88246220.0,144337,176,1995,6.1,-86753780.0,-0.5,High budget
76,G.I. Joe: The Rise of Cobra ,English,USA,Action|Adventure|Sci-Fi|Thriller,175000000.0,150167630.0,174578,118,2009,5.8,-24832370.0,-0.14,High budget
77,Inside Out ,English,USA,Adventure|Animation|Comedy|Drama|Family|Fantasy,175000000.0,356454367.0,345198,95,2015,8.3,181454367.0,1.04,High budget
78,The Jungle Book ,English,UK,Adventure|Drama|Family|Fantasy,175000000.0,362645141.0,106072,106,2016,7.8,187645141.0,1.07,High budget
79,Iron Man 2 ,English,USA,Action|Adventure|Sci-Fi,200000000.0,312057433.0,522371,124,2010,7.0,112057433.0,0.56,High budget
80,Snow White and the Huntsman ,English,USA,Action|Adventure|Drama|Fantasy,170000000.0,155111815.0,228554,132,2012,6.1,-14888185.0,-0.09,High budget
81,Maleficent ,English,USA,Action|Adventure|Family|Fantasy|Romance,180000000.0,241407328.0,252257,97,2014,7.0,61407328.0,0.34,High budget
82,Dawn of the Planet of the Apes ,English,USA,Action|Adventure|Drama|Sci-Fi,170000000.0,208543795.0,317542,130,2014,7.6,38543795.0,0.23,High budget
83,47 Ronin ,English,USA,Action|Adventure|Drama|Fantasy,175000000.0,38297305.0,116994,128,2013,6.3,-136702695.0,-0.78,High budget
84,Captain America: The Winter Soldier ,English,USA,Action|Adventure|Sci-Fi,170000000.0,259746958.0,496749,136,2014,7.8,89746958.0,0.53,High budget
85,Shrek Forever After ,English,USA,Adventure|Animation|Comedy|Family|Fantasy,165000000.0,238371987.0,138661,93,2010,6.4,73371987.0,0.44,High budget
86,Tomorrowland ,English,USA,Action|Adventure|Family|Mystery|Sci-Fi,190000000.0,93417865.0,128306,130,2015,6.5,-96582135.0,-0.51,High budget
87,Big Hero 6 ,English,USA,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,165000000.0,222487711.0,279093,102,2014,7.9,57487711.0,0.35,High budget
88,Wreck-It Ralph ,English,USA,Adventure|Animation|Comedy|Family|Sci-Fi,165000000.0,189412677.0,272534,101,2012,7.8,24412677.0,0.15,High budget
89,The Polar Express ,English,USA,Adventure|Animation|Family|Fantasy,165000000.0,665426.0,120798,100,2004,6.6,-164334574.0,-1.0,High budget
90,Independence Day: Resurgence ,English,USA,Action|Adventure|Sci-Fi,165000000.0,102315545.0,58137,120,2016,5.5,-62684455.0,-0.38,High budget
91,How to Train Your Dragon ,English,USA,Adventure|Animation|Family|Fantasy,165000000.0,217387997.0,485430,98,2010,8.2,52387997.0,0.32,High budget
92,Terminator 3: Rise of the Machines ,English,USA,Action|Sci-Fi,200000000.0,150350192.0,305340,109,2003,6.4,-49649808.0,-0.25,High budget
93,Guardians of the Galaxy ,English,USA,Action|Adventure|Sci-Fi,170000000.0,333130696.0,682155,121,2014,8.1,163130696.0,0.96,High budget
94,Interstellar ,English,USA,Adventure|Drama|Sci-Fi,165000000.0,187991439.0,928227,169,2014,8.6,22991439.0,0.14,High budget
95,Inception ,English,USA,Action|Adventure|Sci-Fi|Thriller,160000000.0,292568851.0,1468200,148,2010,8.8,132568851.0,0.83,High budget
96,The Hobbit: An Unexpected Journey ,English,USA,Adventure|Fantasy,180000000.0,303001229.0,637246,182,2012,7.9,123001229.0,0.68,High budget
97,The Fast and the Furious ,English,USA,Action|Crime|Thriller,38000000.0,144512310.0,272223,106,2001,6.7,106512310.0,2.8,Mid budget
98,The Curious Case of Benjamin Button ,English,USA,Drama|Fantasy|Romance,150000000.0,127490802.0,459346,166,2008,7.8,-22509198.0,-0.15,High budget
99,X-Men: First Class ,English,USA,Action|Adventure|Sci-Fi,160000000.0,146405371.0,518537,132,2011,7.8,-13594629.0,-0.08,High budget
100,The Hunger Games: Mockingjay - Part 2 ,English,USA,Adventure|Sci-Fi,160000000.0,281666058.0,166137,137,2015,6.6,121666058.0,0.76,High budget
101,The Sorcerer's Apprentice ,English,USA,Action|Adventure|Family|Fantasy,150000000.0,63143812.0,124185,109,2010,6.1,-86856188.0,-0.58,High budget
102,Poseidon ,English,USA,Action|Adventure|Drama|Thriller,160000000.0,60655503.0,82380,98,2006,5.6,-99344497.0,-0.62,High budget
103,Alice Through the Looking Glass ,English,USA,Adventure|Family|Fantasy,170000000.0,76846624.0,21352,113,2016,6.4,-93153376.0,-0.55,High budget
104,Shrek the Third ,English,USA,Adventure|Animation|Comedy|Family|Fantasy,160000000.0,320706665.0,211971,93,2007,6.1,160706665.0,1.0,High budget
105,Warcraft ,English,USA,Action|Adventure|Fantasy,160000000.0,46978995.0,111609,123,2016,7.3,-113021005.0,-0.71,High budget
106,Terminator Genisys ,English,USA,Action|Adventure|Sci-Fi,155000000.0,89732035.0,188457,126,2015,6.6,-65267965.0,-0.42,High budget
107,The Chronicles of Narnia: The Voyage of the Dawn Treader ,English,USA,Adventure|Family|Fantasy,155000000.0,104383624.0,106446,113,2010,6.3,-50616376.0,-0.33,High budget
108,Pearl Harbor ,English,USA,Action|Drama|History|Romance|War,140000000.0,198539855.0,254111,184,2001,6.1,58539855.0,0.42,High budget
109,Transformers ,English,USA,Action|Adventure|Sci-Fi,150000000.0,318759914.0,513158,144,2007,7.1,168759914.0,1.13,High budget
110,Alexander ,English,Germany,Action|Adventure|Biography|Drama|History|Romance|War,155000000.0,34293771.0,138863,206,2004,5.5,-120706229.0,-0.78,High budget
111,Harry Potter and the Order of the Phoenix ,English,UK,Adventure|Family|Fantasy|Mystery,150000000.0,292000866.0,355137,138,2007,7.5,142000866.0,0.95,High budget
112,Harry Potter and the Goblet of Fire ,English,UK,Adventure|Family|Fantasy|Mystery,150000000.0,289994397.0,385670,157,2005,7.6,139994397.0,0.93,High budget
113,Hancock ,English,USA,Action|Drama,150000000.0,227946274.0,343648,102,2008,6.4,77946274.0,0.52,High budget
114,I Am Legend ,English,USA,Drama|Horror|Sci-Fi,150000000.0,256386216.0,530870,104,2007,7.2,106386216.0,0.71,High budget
115,Charlie and the Chocolate Factory ,English,USA,Adventure|Comedy|Family|Fantasy,150000000.0,206456431.0,320284,115,2005,6.7,56456431.0,0.38,High budget
116,Ratatouille ,English,USA,Animation|Comedy|Family|Fantasy,150000000.0,206435493.0,473887,111,2007,8.0,56435493.0,0.38,High budget
117,Batman Begins ,English,USA,Action|Adventure,150000000.0,205343774.0,980946,128,2005,8.3,55343774.0,0.37,High budget
118,Madagascar: Escape 2 Africa ,English,USA,Action|Adventure|Animation|Comedy|Family,150000000.0,179982968.0,146019,89,2008,6.7,29982968.0,0.2,High budget
119,Night at the Museum: Battle of the Smithsonian ,English,USA,Adventure|Comedy|Family|Fantasy,150000000.0,177243721.0,130272,105,2009,5.9,27243721.0,0.18,High budget
120,X-Men Origins: Wolverine ,English,USA,Action|Adventure|Fantasy|Sci-Fi|Thriller,150000000.0,179883016.0,361924,119,2009,6.7,29883016.0,0.2,High budget
121,The Matrix Revolutions ,English,Australia,Action|Sci-Fi,150000000.0,139259759.0,364948,129,2003,6.7,-10740241.0,-0.07,High budget
122,Frozen ,English,USA,Adventure|Animation|Comedy|Family|Fantasy|Musical,150000000.0,400736600.0,421658,102,2013,7.6,250736600.0,1.67,High budget
123,The Matrix Reloaded ,English,USA,Action|Sci-Fi,150000000.0,281492479.0,421818,138,2003,7.2,131492479.0,0.88,High budget
124,Thor: The Dark World ,English,USA,Action|Adventure|Fantasy,170000000.0,206360018.0,414070,112,2013,7.1,36360018.0,0.21,High budget
125,Mad Max: Fury Road ,English,Australia,Action|Adventure|Sci-Fi|Thriller,150000000.0,153629485.0,552503,120,2015,8.1,3629485.0,0.02,High budget
126,Angels & Demons ,English,USA,Mystery|Thriller,150000000.0,133375846.0,207839,146,2009,6.7,-16624154.0,-0.11,High budget
127,Thor ,English,USA,Action|Adventure|Fantasy,150000000.0,181015141.0,536314,115,2011,7.0,31015141.0,0.21,High budget
128,Bolt ,English,USA,Adventure|Animation|Comedy|Drama|Family,150000000.0,114053579.0,146766,96,2008,6.9,-35946421.0,-0.24,High budget
129,G-Force ,English,USA,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,150000000.0,119420252.0,33042,88,2009,5.1,-30579748.0,-0.2,High budget
130,Wrath of the Titans ,English,USA,Action|Adventure|Fantasy,150000000.0,83640426.0,152826,99,2012,5.8,-66359574.0,-0.44,High budget
131,Dark Shadows ,English,USA,Comedy|Fantasy|Horror,100000000.0,79711678.0,199039,113,2012,6.2,-20288322.0,-0.2,High budget
132,Mission: Impossible - Rogue Nation ,English,China,Action|Adventure|Thriller,150000000.0,195000874.0,232187,131,2015,7.4,45000874.0,0.3,High budget
133,The Wolfman ,English,USA,Drama|Fantasy|Horror|Thriller,150000000.0,61937495.0,89442,119,2010,5.8,-88062505.0,-0.59,High budget
134,The Legend of Tarzan ,English,USA,Action|Adventure|Drama|Romance,180000000.0,124051759.0,42372,110,2016,6.6,-55948241.0,-0.31,High budget
135,Bee Movie ,English,USA,Adventure|Animation|Comedy|Family,150000000.0,126597121.0,105902,91,2007,6.2,-23402879.0,-0.16,High budget
136,Kung Fu Panda 2 ,English,USA,Action|Adventure|Animation|Comedy|Family,150000000.0,165230261.0,182718,90,2011,7.3,15230261.0,0.1,High budget
137,The Last Airbender ,English,USA,Action|Adventure|Family|Fantasy,150000000.0,131564731.0,118951,103,2010,4.2,-18435269.0,-0.12,High budget
138,Mission: Impossible III ,English,USA,Action|Adventure|Thriller,150000000.0,133382309.0,256695,124,2006,6.9,-16617691.0,-0.11,High budget
139,White House Down ,English,USA,Action|Drama|Thriller,150000000.0,73103784.0,164238,131,2013,6.4,-76896216.0,-0.51,High budget
140,Mars Needs Moms ,English,USA,Action|Adventure|Animation|Comedy|Family|Sci-Fi,150000000.0,21379315.0,17590,88,2011,5.4,-128620685.0,-0.86,High budget
141,Flushed Away ,English,UK,Adventure|Animation|Comedy|Family,149000000.0,64459316.0,85086,85,2006,6.7,-84540684.0,-0.57,High budget
142,Pan ,English,USA,Adventure|Family|Fantasy,150000000.0,34964818.0,39956,111,2015,5.8,-115035182.0,-0.77,High budget
143,Mr. Peabody & Sherman ,English,USA,Adventure|Animation|Comedy|Family|Sci-Fi,145000000.0,111505642.0,47900,92,2014,6.9,-33494358.0,-0.23,High budget
144,Troy ,English,USA,Adventure,175000000.0,133228348.0,381672,196,2004,7.2,-41771652.0,-0.24,High budget
145,Madagascar 3: Europe's Most Wanted ,English,USA,Adventure|Animation|Comedy|Family,145000000.0,216366733.0,119213,93,2012,6.9,71366733.0,0.49,High budget
146,Die Another Day ,English,UK,Action|Adventure|Thriller,142000000.0,160201106.0,169914,133,2002,6.1,18201106.0,0.13,High budget
147,Ghostbusters ,English,USA,Action|Comedy|Fantasy|Sci-Fi,144000000.0,118099659.0,69757,116,2016,5.5,-25900341.0,-0.18,High budget
148,Armageddon ,English,USA,Action|Adventure|Sci-Fi|Thriller,140000000.0,201573391.0,322395,153,1998,6.6,61573391.0,0.44,High budget
149,Men in Black II ,English,USA,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,140000000.0,190418803.0,270207,88,2002,6.1,50418803.0,0.36,High budget
150,Beowulf ,English,USA,Action|Adventure|Animation|Fantasy,150000000.0,82161969.0,142440,115,2007,6.3,-67838031.0,-0.45,High budget
151,Kung Fu Panda 3 ,English,USA,Action|Adventure|Animation|Comedy|Family,145000000.0,143523463.0,64322,95,2016,7.2,-1476537.0,-0.01,High budget
152,Mission: Impossible - Ghost Protocol ,English,USA,Action|Adventure|Thriller,145000000.0,209364921.0,365104,133,2011,7.4,64364921.0,0.44,High budget
153,Rise of the Guardians ,English,USA,Adventure|Animation|Family|Fantasy,145000000.0,103400692.0,123553,97,2012,7.3,-41599308.0,-0.29,High budget
154,Fun with Dick and Jane ,English,USA,Comedy|Crime,100000000.0,110332737.0,110788,90,2005,6.1,10332737.0,0.1,High budget
155,The Last Samurai ,English,USA,Action|Drama|History|War,140000000.0,111110575.0,317166,154,2003,7.7,-28889425.0,-0.21,High budget
156,Exodus: Gods and Kings ,English,UK,Action|Adventure|Drama,140000000.0,65007045.0,128682,150,2014,6.1,-74992955.0,-0.54,High budget
157,Star Trek ,English,USA,Action|Adventure|Sci-Fi,150000000.0,257704099.0,504419,127,2009,8.0,107704099.0,0.72,High budget
158,Spider-Man ,English,USA,Action|Adventure|Fantasy|Romance,139000000.0,403706375.0,544665,121,2002,7.3,264706375.0,1.9,High budget
159,How to Train Your Dragon 2 ,English,USA,Action|Adventure|Animation|Comedy|Family|Fantasy,145000000.0,176997107.0,221128,102,2014,7.9,31997107.0,0.22,High budget
160,Gods of Egypt ,English,USA,Action|Adventure|Fantasy,140000000.0,31141074.0,51892,126,2016,5.5,-108858926.0,-0.78,High budget
161,Stealth ,English,USA,Action|Adventure|Sci-Fi|Thriller,135000000.0,31704416.0,45455,121,2005,5.0,-103295584.0,-0.77,High budget
162,Watchmen ,English,USA,Action|Drama|Mystery|Sci-Fi,130000000.0,107503316.0,392474,215,2009,7.7,-22496684.0,-0.17,High budget
163,Lethal Weapon 4 ,English,USA,Action|Crime|Thriller,140000000.0,129734803.0,127497,127,1998,6.6,-10265197.0,-0.07,High budget
164,Hulk ,English,USA,Action|Sci-Fi,137000000.0,132122995.0,212106,138,2003,5.7,-4877005.0,-0.04,High budget
165,G.I. Joe: Retaliation ,English,USA,Action|Adventure|Sci-Fi|Thriller,130000000.0,122512052.0,146352,122,2013,5.8,-7487948.0,-0.06,High budget
166,Sahara ,English,UK,Action|Adventure|Comedy|Thriller,130000000.0,68642452.0,77673,124,2005,6.0,-61357548.0,-0.47,High budget
167,Final Fantasy: The Spirits Within ,English,USA,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,137000000.0,32131830.0,72259,106,2001,6.4,-104868170.0,-0.77,High budget
168,Captain America: The First Avenger ,English,USA,Action|Adventure|Sci-Fi,140000000.0,176636816.0,508818,124,2011,6.9,36636816.0,0.26,High budget
169,The World Is Not Enough ,English,UK,Action|Adventure|Thriller,135000000.0,126930660.0,157519,128,1999,6.4,-8069340.0,-0.06,High budget
170,Master and Commander: The Far Side of the World ,English,USA,Action|Adventure|Drama|History|War,150000000.0,93926386.0,168207,138,2003,7.4,-56073614.0,-0.37,High budget
171,The Twilight Saga: Breaking Dawn - Part 2 ,English,USA,Adventure|Drama|Fantasy|Romance,120000000.0,292298923.0,185394,115,2012,5.5,172298923.0,1.44,High budget
172,Happy Feet 2 ,English,Australia,Animation|Comedy|Family|Musical,135000000.0,63992328.0,32399,100,2011,5.9,-71007672.0,-0.53,High budget
173,The Incredible Hulk ,English,USA,Action|Adventure|Sci-Fi,150000000.0,134518390.0,326286,135,2008,6.8,-15481610.0,-0.1,High budget
174,The BFG ,English,UK,Adventure|Family|Fantasy,140000000.0,52792307.0,12572,117,2016,6.8,-87207693.0,-0.62,High budget
175,The Revenant ,English,USA,Adventure|Drama|Thriller|Western,135000000.0,183635922.0,406020,156,2015,8.1,48635922.0,0.36,High budget
176,Turbo ,English,USA,Adventure|Animation|Comedy|Family|Sport,135000000.0,83024900.0,62424,96,2013,6.5,-51975100.0,-0.39,High budget
177,Rango ,English,USA,Adventure|Animation|Comedy|Family|Western,135000000.0,123207194.0,183208,107,2011,7.2,-11792806.0,-0.09,High budget
178,Penguins of Madagascar ,English,USA,Adventure|Animation|Comedy|Family,132000000.0,83348920.0,60230,92,2014,6.7,-48651080.0,-0.37,High budget
179,The Bourne Ultimatum ,English,USA,Action|Mystery|Thriller,110000000.0,227137090.0,491077,115,2007,8.1,117137090.0,1.06,High budget
180,Kung Fu Panda ,English,USA,Action|Adventure|Animation|Comedy|Family,130000000.0,215395021.0,307029,92,2008,7.6,85395021.0,0.66,High budget
181,Ant-Man ,English,USA,Action|Adventure|Comedy|Sci-Fi,130000000.0,180191634.0,313866,117,2015,7.4,50191634.0,0.39,High budget
182,The Hunger Games: Catching Fire ,English,USA,Adventure|Sci-Fi|Thriller,130000000.0,424645577.0,498397,146,2013,7.6,294645577.0,2.27,High budget
183,The Twilight Saga: Breaking Dawn - Part 2 ,English,USA,Adventure|Drama|Fantasy|Romance,120000000.0,292298923.0,185394,115,2012,5.5,172298923.0,1.44,High budget
184,Home ,English,USA,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,135000000.0,177343675.0,70121,94,2015,6.7,42343675.0,0.31,High budget
185,War of the Worlds ,English,USA,Adventure|Sci-Fi|Thriller,132000000.0,234277056.0,334345,116,2005,6.5,102277056.0,0.77,High budget
